pick_number,round,drafter,sleeper_team_name,original_name,player_position,player_team
80,7,Mackenzie,KamaraIsAGuyOnTheChiefs,DK Metcalf,WR,PIT
81,7,TJ,Ladd McBonkers,Harold Fannin,TE,CLE
82,7,Hannah,Lylas Lucky Lineup,Brian Thomas,WR,JAX
83,7,Mason,Always be Tuten,J.K. Dobbins,RB,DEN
84,7,Mike,Harvest is Jeanty,Jonathon Brooks,RB,CAR
85,8,Mike,Harvest is Jeanty,Kyle Monangai,RB,CHI
86,8,Mason,Always be Tuten,Michael Wilson,WR,ARI
87,8,Hannah,Lylas Lucky Lineup,RJ Harvey,RB,DEN
88,8,TJ,Ladd McBonkers,Tony Pollard,RB,TEN
89,8,Mackenzie,KamaraIsAGuyOnTheChiefs,Courtland Sutton,WR,DEN
90,8,Austin,Love Thy Nabers,Jordan Addison,WR,MIN
91,8,Garrett,YouUnderestimateMyBowers,Trevor Lawrence,QB,JAX
92,8,Zach,Mr. Maker Baefield,Kenny Gainwell,RB,TB
93,8,Ryan,RBotz,Stefon Diggs,WR,WAS
94,8,Riley,rileybotz,Chris Godwin,WR,TB
95,8,Cody,The Bijantine Empire,Chuba Hubbard,RB,CAR
96,8,Ethan,Qbs doin the Cam Cam,Alec Pierce,WR,IND
97,9,Ethan,Qbs doin the Cam Cam,George Kittle,TE,SF
98,9,Cody,The Bijantine Empire,Jordan Mason,RB,MIN
99,9,Riley,rileybotz,Jayden Reed,WR,GB
100,9,Ryan,RBotz,Aaron Jones,RB,MIN
101,9,Zach,Mr. Maker Baefield,Makai Lemon,WR,PHI
102,9,Garrett,YouUnderestimateMyBowers,Dalton Kincaid,TE,BUF
103,9,Austin,Love Thy Nabers,Dak Prescott,QB,DAL
104,9,Mackenzie,KamaraIsAGuyOnTheChiefs,Blake Corum,RB,LAR
105,9,TJ,Ladd McBonkers,Quentin Johnston,WR,LAC
106,9,Hannah,Lylas Lucky Lineup,Brandon Aubrey,K,DAL
107,9,Mason,Always be Tuten,Michael Pittman,WR,PIT
108,9,Mike,Harvest is Jeanty,Isaiah Likely,TE,NYG
109,10,Mike,Harvest is Jeanty,Wan'Dale Robinson,WR,TEN
110,10,Mason,Always be Tuten,MarShawn Lloyd,RB,GB
111,10,Hannah,Lylas Lucky Lineup,KC Concepcion,WR,CLE
112,10,TJ,Ladd McBonkers,Jacory Croskey-Merritt,RB,WAS
113,10,Mackenzie,KamaraIsAGuyOnTheChiefs,Matthew Golden,WR,GB
114,10,Austin,Love Thy Nabers,Josh Downs,WR,IND
115,10,Garrett,YouUnderestimateMyBowers,Xavier Worthy,WR,KC
116,10,Zach,Mr. Maker Baefield,Rachaad White,RB,WAS
117,10,Ryan,RBotz,Seattle Seahawks,DEF,SEA
118,10,Riley,rileybotz,Tyrone Tracy,RB,NYG
119,10,Cody,The Bijantine Empire,Jalen Coker,WR,CAR
120,10,Ethan,Qbs doin the Cam Cam,Jaxson Dart,QB,NYG
121,11,Ethan,Qbs doin the Cam Cam,Denver Broncos,DEF,DEN
122,11,Cody,The Bijantine Empire,Houston Texans,DEF,HOU
123,11,Riley,rileybotz,Rashid Shaheed,WR,SEA
124,11,Ryan,RBotz,Bo Nix,QB,DEN
125,11,Zach,Mr. Maker Baefield,De'Zhaun Stribling,WR,SF
126,11,Garrett,YouUnderestimateMyBowers,Philadelphia Eagles,DEF,PHI
127,11,Austin,Love Thy Nabers,Khalil Shakir,WR,BUF
128,11,Mackenzie,KamaraIsAGuyOnTheChiefs,Chris Rodriguez,RB,JAX
129,11,TJ,Ladd McBonkers,Matthew Stafford,QB,LAR
130,11,Hannah,Lylas Lucky Lineup,Minnesota Vikings,DEF,MIN
131,11,Mason,Always be Tuten,Brock Purdy,QB,SF
132,11,Mike,Harvest is Jeanty,Jordyn Tyson,WR,NO
133,12,Mike,Harvest is Jeanty,Jonah Coleman,RB,DEN
134,12,Mason,Always be Tuten,Dallas Goedert,TE,PHI
135,12,Hannah,Lylas Lucky Lineup,Romeo Doubs,WR,NE
136,12,TJ,Ladd McBonkers,Jake Ferguson,TE,DAL
137,12,Mackenzie,KamaraIsAGuyOnTheChiefs,Cameron Dicker,K,LAC
138,12,Austin,Love Thy Nabers,Keaton Mitchell,RB,LAC
139,12,Garrett,YouUnderestimateMyBowers,Woody Marks,RB,HOU
140,12,Zach,Mr. Maker Baefield,Mike Washington,RB,LV
141,12,Ryan,RBotz,Isiah Pacheco,RB,DET
142,12,Riley,rileybotz,Tyler Allgeier,RB,ARI
