,trade_id,date,traded_a_to_b,traded_b_to_a,trader_a,trader_b
0,1,2022-08-13,Aaron Rodgers,Derek Carr,Mason,Nick
1,1,2022-08-13,Mike Gesicki,Rachaad White,Mason,Nick
